Year,Year2,Year3,State,Total Rev
12/1/09,2009-00-01,1/1/09,Idaho,0.025179018
12/1/09,2009-00-01,1/1/09,Illinois,0.143830064
12/1/09,2009-00-01,1/1/09,Indiana,0.129461039
12/1/09,2009-00-01,1/1/09,Iowa,0.130741564
12/1/09,2009-00-01,1/1/09,Kansas,0.221214921
12/1/09,2009-00-01,1/1/09,Kentucky,0.176901781
12/1/09,2009-00-01,1/1/09,Louisiana,0.377705327
12/1/09,2009-00-01,1/1/09,Maine,0.21144334
12/1/09,2009-00-01,1/1/09,Maryland,0.320592242
12/1/09,2009-00-01,1/1/09,Massachusetts,0.163885728
12/1/09,2009-00-01,1/1/09,Michigan,-0.010375864
12/1/09,2009-00-01,1/1/09,Minnesota,0.130962711
12/1/09,2009-00-01,1/1/09,Mississippi,0.204028753
12/1/09,2009-00-01,1/1/09,Missouri,0.071038425
12/1/09,2009-00-01,1/1/09,Montana,0.221857777
12/1/09,2009-00-01,1/1/09,Nebraska,0.127066161
12/1/09,2009-00-01,1/1/09,Nevada,0.179406334
12/1/09,2009-00-01,1/1/09,New Hampshire,0.271305157
12/1/09,2009-00-01,1/1/09,New Jersey,0.192621355
12/1/09,2009-00-01,1/1/09,New Mexico,0.180579565
12/1/09,2009-00-01,1/1/09,New York,0.370623794
12/1/09,2009-00-01,1/1/09,North Carolina,0.177158775
12/1/09,2009-00-01,1/1/09,North Dakota,0.27186427
12/1/09,2009-00-01,1/1/09,Ohio,0.096105739
12/1/09,2009-00-01,1/1/09,Oklahoma,0.105531745
12/1/09,2009-00-01,1/1/09,Oregon,0.047728925
12/1/09,2009-00-01,1/1/09,Pennsylvania,0.247430429
12/1/09,2009-00-01,1/1/09,Rhode Island,0.224094997
12/1/09,2009-00-01,1/1/09,South Carolina,0.06727065
12/1/09,2009-00-01,1/1/09,South Dakota,0.128062958
12/1/09,2009-00-01,1/1/09,Tennessee,0.07649977
12/1/09,2009-00-01,1/1/09,Texas,0.077453332
12/1/09,2009-00-01,1/1/09,Utah,0.107661022
12/1/09,2009-00-01,1/1/09,Vermont,0.291695924
12/1/09,2009-00-01,1/1/09,Virginia,0.200187909
12/1/09,2009-00-01,1/1/09,Washington,0.17146295
12/1/09,2009-00-01,1/1/09,West Virginia,0.065951184
12/1/09,2009-00-01,1/1/09,Wisconsin,0.05771338
12/1/09,2009-00-01,1/1/09,Wyoming,0.547273616
12/1/10,2010-00-01,1/1/10,United States,0.135013641
12/1/10,2010-00-01,1/1/10,Alabama,0.132005925
12/1/10,2010-00-01,1/1/10,Alaska,0.348144178
12/1/10,2010-00-01,1/1/10,Arizona,0.038543762
12/1/10,2010-00-01,1/1/10,Arkansas,0.251807513
12/1/10,2010-00-01,1/1/10,California,0.007000896
12/1/10,2010-00-01,1/1/10,Colorado,0.109725376
12/1/10,2010-00-01,1/1/10,Connecticut,0.215571214
12/1/10,2010-00-01,1/1/10,Delaware,0.148496469
12/1/10,2010-00-01,1/1/10,District of Columbia,0.347722822
12/1/10,2010-00-01,1/1/10,Florida,0.106389198
12/1/10,2010-00-01,1/1/10,Georgia,-0.004306001
